a (Angstrom)	c (Angstrom)	E (eV)
3.0468364371	4.5568501191	-15.7589475800
3.0785743166	4.5568501191	-15.8680249100
3.1103121962	4.5568501191	-15.9566499700
3.1420500757	4.5568501191	-16.0270760800
3.1737879553	4.5568501191	-16.0802153000
3.2055258348	4.5568501191	-16.1170866600
3.2372637144	4.5568501191	-16.1387051700
3.2690015939	4.5568501191	-16.1464544900
3.3007394735	4.5568501191	-16.1409537600
3.0468364371	4.7070759472	-15.9849882800
3.0785743166	4.7070759472	-16.0735633600
3.1103121962	4.7070759472	-16.1442531300
3.1420500757	4.7070759472	-16.1973897700
3.1737879553	4.7070759472	-16.2338104400
3.2055258348	4.7070759472	-16.2544463500
3.2372637144	4.7070759472	-16.2622669700
3.2690015939	4.7070759472	-16.2541504100
3.3007394735	4.7070759472	-16.2329707800
3.0468364371	4.8573017753	-16.1359759500
3.0785743166	4.8573017753	-16.2073806500
3.1103121962	4.8573017753	-16.2620768400
3.1420500757	4.8573017753	-16.2998944900
3.1737879553	4.8573017753	-16.3216613400
3.2055258348	4.8573017753	-16.3280912800
3.2372637144	4.8573017753	-16.3194202100
3.2690015939	4.8573017753	-16.2973405100
3.3007394735	4.8573017753	-16.2626542000
3.0468364371	5.1577534315	-16.2511593800
3.0785743166	5.1577534315	-16.2942628800
3.1103121962	5.1577534315	-16.3212943400
3.1420500757	5.1577534315	-16.3321572000
3.1737879553	5.1577534315	-16.3275395800
3.2055258348	5.1577534315	-16.3083508800
3.2372637144	5.1577534315	-16.2757713600
3.2690015939	5.1577534315	-16.2307240700
3.3007394735	5.1577534315	-16.1739197200
3.0468364371	5.3079792596	-16.2364828700
3.0785743166	5.3079792596	-16.2656020700
3.1103121962	5.3079792596	-16.2786506500
3.1420500757	5.3079792596	-16.2770085200
3.1737879553	5.3079792596	-16.2611220900
3.2055258348	5.3079792596	-16.2312939100
3.2372637144	5.3079792596	-16.1886606100
3.2690015939	5.3079792596	-16.1335104400
3.3007394735	5.3079792596	-16.0670238200
3.0468364371	5.4582050877	-16.1812784500
3.0785743166	5.4582050877	-16.1984235600
3.1103121962	5.4582050877	-16.2002169700
3.1420500757	5.4582050877	-16.1866821600
3.1737879553	5.4582050877	-16.1590384000
3.2055258348	5.4582050877	-16.1187503100
3.2372637144	5.4582050877	-16.0667982500
3.2690015939	5.4582050877	-16.0029754800
3.3007394735	5.4582050877	-15.9279908800
3.0468364371	5.0075276034	-16.2213065900
3.0785743166	5.0075276034	-16.2786761200
3.1103121962	5.0075276034	-16.3186092300
3.1420500757	5.0075276034	-16.3420750300
3.1737879553	5.0075276034	-16.3499996000
3.2055258348	5.0075276034	-16.3431507500
3.2372637144	5.0075276034	-16.3231033000
3.2690015939	5.0075276034	-16.2886991900
3.3007394735	5.0075276034	-16.2419404500
